model,difference
"I have a friend who's attending a university in the United States. We often discuss the similarities and differences between university life in the US and in our own country.     

 One of the big differences is flexibility. My friend tells me it's fairly common to change your major in the US. This is not the case in my country. Unlike the US system, it is very difficult to change your major. Being able to easily change majors makes sense to me, as a person's interests might change as well.      Another thing my friend tells me that's different is the level of formality. Even though professors are respected, they can also be your friend. Students in some classes actually socialize with their professors. By comparison, I don't think I would ever go to a party or restaurant with one of my teachers.      

Just so you don't think everything is different, my friend tells me that students in America are pretty much like students in our country. They want to get a good education so they can get a good job and have a happy life, but they also want to have fun. That's something I think we can all agree on.  
",1
"Welcome everybody. As you know, we're here today to celebrate the wedding of Doug and Jessica. I'd like to offer a toast to this wonderful couple.      

To begin, I'd like to tell you about the first time I met Doug. Jessica hadn't told me they were dating. The manager of our downtown office had been telling me for months about his star employee, Doug, and I finally stopped by the office to meet him. Well, when I stepped into Doug's cubicle, he introduced himself as if I knew about him and Jessica dating. Never have I seen someone turn so red!     

If we look at Doug and Jessica, we see a shining example of devotion. They always support one another in their pursuits and decisions. The most beautiful thing is how affectionate they are with one another. They remind me of how Lydia and I were when we first met. Seldom do you see such genuine warmth and affection.      Doug and Jessica, I hope that the warmth you feel for each other endures the years as it has for Lydia and me. Everyone, let's toast to the health, happiness and future of this amazing couple. To Doug and Jessica!  
",1
"I got stuck in an elevator yesterday, and it reminded me of a story about a pizza-delivery guy who got stuck in an elevator for days. Have you heard that one?      

So, this guy is sent to deliver pizzas to several apartment buildings, but he never comes back to work. His employer calls the people the guy was supposed to deliver to. They all say that they received their orders. Next, he calls the police to see if there have been any bicycle accidents: nothing. Feeling more and more desperate, the employer visits all the buildings the guy delivered to. He still finds nothing. After 24 hours, the police declare the guy a missing person and start to investigate.      Finally, in one of the buildings the guy delivered to, the security people are checking video camera footage and realize that he's stuck in an elevator. It's been more than 40 hours! The guy was OK. He was thirsty and tired, and he joked that the elevator didn't smell too good. He also thought it was ironic that he'd just delivered his last pizza before he got stuck. One of those pizzas sure would have been useful.  
",1
"Last night, Serena Nelson, 38, stabbed her husband with the knife she was using to make his sandwiches. The police were told she had not intended to seriously hurt her husband when they started arguing about her plans to launch a lunch-delivery business. The police were also told Mrs. Nelson had suffered frequent verbal and physical abuse from her husband.     

On the night of the stabbing, Mr. Nelson was sitting on a stool in the kitchen of the couple's home. Mrs. Nelson pointed out to the police that it was he who started the argument, not her. Serena Nelson moved toward her husband, intending to slap him to stop him shouting, but her husband just laughed. It was then that she picked up the knife, which she had been using to make the sandwiches.      

Mrs. Nelson turned toward her husband, holding the knife. The knife, which had an eight-and-a-half-inch blade, entered his chest. Mrs. Nelson was said to have been 'hysterical' while dialing the emergency services. Her husband was later pronounced dead in hospital.  
",1
"Communication in my country is generally indirect. By that I mean people don't like to make very direct statements for fear of offending or upsetting others. This can sometimes lead to misunderstandings. You have to become skilled at reading between the lines to understand what someone is really trying to say.      Along with this indirect style of communication, goes a rather formal use of body language. People in my country don't make a lot of gestures while speaking. One gesture we do often use is the thumbs-up; that means 'great' or 'OK,' which I think is the same everywhere.      In some countries, it's common to put a hand on another's shoulder, or even hug, but that kind of behavior makes people feel uncomfortable in my country. You need to have known someone a long time before there's any physical contact.      The best advice I could give to someone visiting my country is, when first meeting someone, to hold back a bit. Watch what other people do, and listen a lot. Rather than ask a lot of questions, wait to be asked questions. And, like I said, try not to be too physical in your interactions.  
",1
"I use Muzing.com for all my music needs. The unlimited streaming subscription is $9.99 a month, and you can also purchase music from Muzing for yourself or as gifts for others. The sheer volume of music they have is mind-blowing – there are more than 20 million tracks, so it's easy to find the music you love, and discover cool new tunes, too. Another highlight is that they allow you to keep 3000 tracks in storage on your device so that you can listen to music offline.      Muzing is far better than other music sites, both in terms of functionality and usability. I've tried several others, including Symphony, which I quickly quit because the music playlists were impossible to use. Another site, MIL, streamed at a quality that was as high as Muzing, but the streaming was constantly interrupted. Imagine listening to Billie Holiday singing 'The Way You Look Tonight,' and the song stops after she sings 'There is nothing for me but to love you, and the way you –' My advice? Go with Muzing.  
",1
"There are definitely both pros and cons associated with superstores, but I think we have to be realistic about the circumstances of some communities.      

I understand the argument that superstores create primarily low-wage jobs and provide few if any social or health benefits to those same workers. I also understand that these giant stores could possibly bankrupt smaller stores that are unable to compete with them. I think just about everyone knows this to be true.      

On the other hand, if a community is already in economic trouble, with few jobs available and people struggling, saying 'no' to a superstore doesn't seem to make any sense at all. Isn't a low-wage job better than no job at all? And, if a community is struggling, wouldn't the lower prices that a superstore can offer help those most in need?      

I want to reiterate that I understand that superstores are not the answer for every community. Different communities have different circumstances and different needs. All I'm saying is that, under certain circumstances, a superstore might do more good than harm for a struggling community.  
",1
"I believe that in 25 years' time, the technology we already have will become more and more advanced, adding additional functionality to things that we already have, like cellphones.  For example, rather than having to show your gym card to use the facilities, retinal scanning is likely to become more common, even with portable devices. Mobile technology is already in the running to replace PCs and desktop computers, and I think more and more people will soon be on board with it.      

Ideas like GPS autopilot and artificial intelligence are still likely to be in development at that time, although I'm sure many advances will have been made.  The future of the gas-powered car is still uncertain in my mind, since hybrid and small electric vehicles are increasing in popularity even now. Other types of eco-friendly and safety-related technology are bound to increase, especially with the development of things like wearable computing devices. I don't know about you, but I'm really looking forward to a tech-savvy future!  
",1
"Senator Accused Of Taking Bribes

Senior senator's long relationship with construction firm under scrutiny
State Senator William Grimes has been accused of taking bribes in the awarding of state construction projects. Firms competing for state projects have long complained that Grimes has shown favoritism toward Universal Construction. This comes after news reports that Grimes' wife has been on the payroll of Universal for more than two years.           

Lawyers representing several firms that have lost out on state projects argue that Grimes' wife being on the Universal payroll is a conflict of interest at best, and criminal bribe-taking at worst. They are urging state legislators to open an investigation immediately.           

""When the last big state project was awarded to Universal, I said enough is enough!"" declared the CEO of Precision Construction, a competitor of Universal. ""I know for a fact that our bid was competitive with Universal, but we didn't get a fair hearing."" Other business leaders and legislators have claimed to have suffered similar discrimination.           

Grimes' office refused to comment on the allegations, but did say, ""Senator Grimes has always acted in the best interests of our state and will continue to do so.""  
",1
"Robots help perform more than 300,000 surgeries per year in the US. They explore places humans can't, such as the deepest parts of oceans and space. But most often, robots perform routine, assembly-line jobs that increase productivity and lower costs, like packaging produce or attaching wheels to cars.      

Robots perform an increasingly large proportion of menial tasks in the US, which I feel is a promising trend. The result is that companies can keep more jobs in the country and increase the number of jobs that require higher-level skills. Jobs that require these skills will still need to be performed by humans, at least in the foreseeable future.      

I think there is a major downside to this trend, however. As robots replace people doing manual work that can be completed by computers – jobs usually held by poor and middle-class people – the line that separates the poor and rich will become that much more evident. As this trend continues, we need to figure out how to add robots to create an optimal workforce instead of using them simply to replace humans.  
",1
"I don't want to name names, but there is a certain male singer who I think is nothing but a media-hogging opportunist. He loves to champion the cause of Housing for Humanity, the charity that builds affordable homes for the poor, but I know something that many people don't.      

A good friend of mine also volunteers at Housing for Humanity, and she saw this singer arrive the other day to supposedly work on the construction of a new home. He arrived with all sorts of assistants and media people. He gave interviews to the local media and talked about how important this charity was to him. As soon as the interviews were over, he left. My friend said he didn't hit one nail!      

Granted, this guy donates a lot of money to the charity, but how hard is that for someone who is very wealthy? I'm sick and tired of celebrities pretending to be something they're not. This guy was in work clothes and had tools on his belt so the media would report that he was constructing houses for poor people. He has no business pushing this kind of image of himself when it's just not true.  

",1
"I believe that the creative writing techniques introduced here could be useful for many types of writing. In my line of work, the 'questioning' technique comes in handy. I use it so often and so instinctively that I have to admit that I no longer think of it as a technique. You see, I write technology articles for a weekly banking magazine and use a common journalistic approach: answering the five 'wh-' questions as you write the first paragraph of the story. That way, you anticipate the most salient questions your readers might have about the story.      

A technique I'd like to formally experiment with is loop writing. Sometimes, when I'm trying to formulate the first, critical paragraph for my story, it's difficult to separate the wheat from the chaff. I don't always know what the most relevant information is until I sort through all of the details. Loop writing would allow me to think through all of the details, summarize them, rethink them and summarize them again. I believe that final summary could give me a jump-start on a powerful lead paragraph.  

",1
"My husband and I are lucky enough to own our own home. We have good jobs and a solid credit history. When my father died, he left me some money and we used that as a down payment on a home loan. I feel very fortunate.      

Before looking for a home, we had to sit down with a mortgage broker. We needed to be 'pre-approved' for a home loan so we could actually make an offer on a home if we found one.  The process was very complicated, requiring an incredible amount of paperwork.      

When we were finally ready to start looking, we contacted a real estate broker. He showed us more than 15 homes. Once or twice we found a home that we liked, but before we had a chance to consider making an offer, the home was gone, purchased by someone else. We finally found a lovely home in our price range and our offer was accepted. Looking back, it was far from easy, but owning our own home makes all the trouble well worth it.  
",1
"Work is probably the most stressful part of my life. Major stressors include deadlines, client relationships and travel. It's so easy to feel like I'm caught in a trap, waking with the alarm, racing off to work and then coming home, only to collapse with exhaustion. Sometimes work stress is so overwhelming that it makes me feel all of my hope has run dry. Most fortunately, there's a serene Japanese garden next to our office. Every few hours, I'll take a break and walk around the Zen garden, breathing the fresh air, smelling the pine trees and taking in the soothing colors. Among the pines, you pick up the sweet sound of small birds as they sing and skip through the needles. A small waterfall spilling onto black stone further enchants the senses – and the imagination. The Japanese garden usually gives me such a sense of peace and wellbeing that I can return to work refreshed and ready to give my best to the task ahead.  
",1
"Leprechauns have a long history as a part of Irish folklore, and are considered to be lucky, if very reclusive, creatures. They are often pictured as very short, closer to a child's height than an adult's, with bright red hair and a red beard. They are usually shown wearing a green suit and narrow, pointed shoes.       

Legend has it that leprechauns hide all of their gold in pots at the end of rainbows, and those who can find it will be rich. It's also believed by some that if a human catches a leprechaun, the leprechaun has the power to grant three wishes to the human, in exchange for the leprechaun's freedom.       

While there have been no reported sightings of leprechauns in modern times, these creatures are a common theme in children's stories and are often mentioned at the sight of a rainbow.     

Whether or not you actually believe in the existence of creatures such as leprechauns, they are certainly an interesting aspect of the history and culture of a country. So much so that, in modern times, you will be more likely to see them in the advertising material for tourist attractions than at the end of a rainbow!  
",1
"Dear Mr. Thomas,

There are 13 computers and 16 keyboards in the office. Also, there are 14 chairs and 12 desks. There are 30 pens, 15 pencils and 16 headphones. There is also one desk.

Best,
Nasser Al Masood  ",1
"Hi!
Nice to meet you.
My name's Hakim.
I'm twenty-one years old. I'm from Jeddah but I live in Riyadh.
I like going shopping with my friends.
Bye!
Hakim 
",1
"Hi. My name’s Roger. I’m from the USA. I live in New York. There are three people in my family: my wife, my son and I. My son is ten years old. My wife is thirty-five.  ",1
"Hi, Marcos. My name’s Todd. I’m twenty-six. I’m from Canada. I live in Vancouver. There are four people in my family. My mother, my father, my sister and I. My sister is thirty. She lives in Spain. My mother and father live in London, England.  ",1
My name's Abdullah. I'm 21. I'm from Saudi Arabia. I live in Riyadh. I'm an engineer. I like my job.        ,1
"Hi! This is the menu:
For a starter, we will have salad. 
Then, we will have chicken sandwiches.
For dessert, we will have ice cream.  ",1
"Donald gets up at 6:30 in the morning. I get up at 9 in the morning. I have breakfast at 10 o’ clock. I go to work at 10:30. I have lunch at 1 o’clock in the afternoon. Donald doesn’t have lunch. In the evening, I eat dinner at 9 o’ clock. At 9:45 I watch TV. I go to bed at midnight.  ",1
"My favorite day of the week is Tuesday. On Tuesday, I usually play golf with my friends at 1 o’clock. After golf, we go to a restaurant and have dinner. I love Tuesdays.  ",1
"Exciting Shanghai

In Shanghai, China, the spring is sunny and warm. We usually play soccer or walk in the park. In the fall, it is usually cool. We usually wear jeans and light jackets.   In the summer, it usually rains. We eat out at restaurants all year round.  ",1
"The online catalog has white sneakers, a white T-shirt, a belt, a blue shirt, brown pants and black shoes, but it has no dresses.  ",1
Hi! Welcome to my house. On my street there is a shop. You can buy food there. There is a good museum in town. I like it! There is a swimming pool near my house. It's on Farley street. See you soon!  ,1
They need a garage. They need two rooms for their children. They need a room for the grandparents. They need a garden because the children like to play.   ,1
"My new apartment is beautiful. It has a bedroom, a kitchen and a big living room. I like the living room. There is a big window and under the window there is a big sofa. Opposite the window there is a big TV and three pictures. On the left under the picture, there is a plant. In front of the sofa there is a coffee table. There’s a rug under the coffee table. Next to the coffee table there are two white chairs.  ",1
"Hi, Jabir. Sorry, I'm busy. Right now I'm painting the living room walls. Our new sofa and armchairs will arrive tomorrow. Let's meet later for coffee at 4:00.  ",1
"Hi! My name is Fuad. I have three brothers, a mother and a father. My mother and brothers don't eat meat. My father likes meat. My mother eats at six o'clock and I eat with my brothers at seven o'clock. My father eats at eight o'clock. He works late.  ",1
On Thursday he goes jogging at 11:30. He eats lunch at 12:30. He reads emails at 4:00. He eats dinner at 6:00. He watches TV at 10:00. On Friday he goes to the park with his friends at 8:00. He plays tennis at 11:30. He has free time at 3:00. He eats out with friends at 8:00. He goes to bed at 10:00.  ,1
"Hi, Farid. Go straight down Liverpool Road. Turn left onto Green Avenue. My house is between the restaurant and the supermarket.  ",1
"Dear Julia,   I'm very angry because I did most of the chores this week.  Let me tell you what I did.  On Monday I ironed, and washed the dishes.  On Tuesday, I did all my chores, and Wednesday I had to wash the dishes again! I also did all of my chores on Thursday, Saturday, and Sunday, and still made the beds, did the shopping, and vacuumed.  Please do a better job next week.  Bill  ",1
"tent, sleeping bag, soap, towels, sunscreen, sunglasses, T-shirts, shorts, sweater, waterproof jacket  ",1
"In my country we celebrate a festival called Thanksgiving.  It happens in November, and there’s always lots of food.  This is the day that we give thanks for all the good things that we have, and spend time with family.  Traditionally, we also eat a big turkey dinner with potatoes, vegetables, and cranberry sauce. Lots of families also watch American football, and sometimes even play their own game outside.  ",1
The monkeys are small and also playful. They are very friendly but they are a little noisy.  ,1
"Hi Dad! Sorry I couldn’t call you back right now, but I think it’s after midnight over there. So, you asked what I do all day here.  Well, you know France is famous for food, so I spend a lot of time in cafes, drinking coffee and studying. I also ride my bike through the countryside on the weekends, it’s beautiful.

I hope you come to visit soon!
Mike  ",1
"Hi,
Thanks for looking after the house.
I water the plants every day in the morning. The water can is in the kitchen.   I usually take the cats out twice a day. I don’t take them out in the rain. I sometimes play games with them. Then I feed them at night. I feed the birds in the morning, everyday. I check the water 3 times a week. I feed the fish every Monday, Wednesday and Friday in the afternoon. I take the trash out Tuesday night. You don’t have to clean the house or sweep the floor everyday. Please do it twice a week.
See you next week.   ",1
"ABC Insurance Claim form:
Reason for claim: Robbery 
Date: 1 June   
Name of claimant: Tyler Mathews
Address: 123 Main Street
Home telephone number: 919-555-5555
Mobile number: 916-555-1515 
Email address: tmathews@email.com 
Mode of entry for robbery: robbers forced the lock and broke the door down   
Items stolen and value: 
laptop computer - $900; 
TV - $800; 
stereo - $200; 
items of jewelry - $1500   
Total: $3400   

Statement of victim:   Mr. Mathews arrived home from work at around 7.00 pm and found the door to his apartment open.  On entering his apartment he discovered the above items missing so he called the police at approximately 7.20 pm.  The police arrived on the scene at around 7.35,
",1
"Title: One more Mile
Author:  Randolph Smart
Type of story:  True Story 
Setting:  1990/ Tokyo (Japan)
Main characters:  Tadeshi, Ron, Akio
Plot:  They were climbing a mountain when Akio fell. After 3 days they finally found him.       
Randolph Smart wrote a very good book called, One More Mile. It is a true story that began in Tokyo about 1990. Tadeshi, Ron and Akio were best friends from university. They did many things together. One day they were climbing a mountain, when Akio fell and disappeared. They called the police, firemen. After 3 days the police stopped looking. Then, Ron had an idea. They looked for waterfalls. They were walking close to a waterfall, when finally, they heard Akio’s voice. He was weak but he was alive! I liked this story.  
",1
"From: Michael Bennett
To: Paul Evans
Subject: Sorry!
Hi, Paul.
I'm terribly sorry that I missed your wedding, but I have the flu. I have a headache, a fever, and I'm vomiting. I went to the clinic, and the doctor said I should stay in bed and drink plenty of water.

I'll be better in a few days. Let’s get together when you get back from your honeymoon!

Best wishes!
Mike
  ",1
"Dear Simon,
I'm looking forward to your visit to Canada. Before you arrive, here are a few tips: 
 - Don't yell or push people in public areas
- Always bring a small gift when you visit someone's house, and never stay too late
- Don't go out alone at night

 See you soon!
",1
"Hi Aunt Jane
Don't worry, flying is easy.

Bring your passport and e-ticket to the airport. First you need to check-in. Show your passport and e-ticket to the check-in clerk. The check-in clerk will give you your boarding pass.

Next you need to go through security. Give your boarding pass and passport to the security officer. The security officer will check your passport.   Then put your hand luggage through the security check.

When you are boarding the plane, give the flight attendant your boarding pass. Fill-in the arrival card during the flight and give it to the customs officer when you arrive in New York. 

Enjoy your flight!
",1
"Hi James,

I took a look at the weather report you sent, and it looks like you have to be ready for anything.
You should bring at least one warm sweater, and some long-sleeved shirts, and don’t forget your gloves!  A warm hat is a good idea, and a wool coat.  But also bring a couple of t-shirts to layer, in case you get hot inside.

Hope this helps!
Brian
",1
"Dear Abdullah,

I can’t believe you are coming to my school. Let me tell you about the dress code so that you can buy the right clothes. Basically we wear long-sleeved shirts and dress pants every day. If we are outside we can wear sunglasses. We are also allowed to wear shorts but not running shorts or pajamas. It is a bit strange but they do not allow us to wear watches, but it’s not a problem as they have clocks all over the school. The hardest thing for me is the shoes. I love wearing sandals but they are prohibited.
I can’t wait to see you.
Ali 
",1
"Mike Jones
Address: Quingdao Road 13234, Shanghai
Mission Statement
I’m looking for challenge and a job that allows me to use my growing knowledge and experience in teaching English as a second or other Language.

Education and Qualifications
Cambridge
University / Cambridge ESOL
Shanghai, China
Diploma in English Language Teaching : teaching theory and knowledge   
Sept 2004 – March 2006    International Teaching Seminars   London, UK  
Master Practitioner in Neuro-Linguistic Programming  
June 2004    Cambridge     University / Cambridge ESOL   Brussels, BE    
Examiner Certification (FCE, CAE , IELTS)
Professional experience:   Aug 2008 – present
English First
Shanghai, China    
Learning Materials Editor     
Design standardization processes, criteria and checklists      
Edit lesson material in preparation for new product release       
Jan 2006 – Aug 2008
English First
Shanghai, China
Director of Studies and Teacher Recruitment Officer 
Professional English Classes and English for General business purposes
Managed a team of 11 teachers 
Languages and Computing 
French (intermediate), German (Upper-int.), Czech (intermediate), Dutch (elementary), Mandarin Chinese (beginner) 

MS Office – Word, Excel, PowerPoint, Access, Outlook
Mac Os X  
",1
"I have a brother. He is really smart, and spends most of his time reading books. He’s not like my father, who is also smart, but spends most of his time playing sports. On the weekends he goes biking or running, and he plays tennis with his friends. I do a little of both - I spend half my time reading and half my time playing sports.  ",1
"If Gary always dresses well, he must have a good job.  Maybe he is a manager.  He also has a lot of toys outside his house, so he must be a father.  Fathers usually have a lot of patience, so that’s good.  If he has a lot of people over on the weekends, then he must be popular and well-liked.  I think he’s a good choice overall!  ",1
"From: Dr. Burn
To: Polaris
Dear Polaris 
Thank you for asking me for advice on stopping shopping. Here is a plan that might work for you.
Firstly you should remember to always make a list of what you need before you go shopping, and stick to it. Secondly always take plastic bags.  ",1
"Dear Sir,
I ate in your restaurant last week and had a terrible experience.  I ordered soup as my starter, but when it arrived, it was cold.  Then, I had the steak, but I couldn’t eat it because it was so tough.  Finally, I had the chocolate cake for dessert, but it wasn’t sweet.  It tasted bitter. 
I will not eat in your restaurant again.
Sincerely,
Fahad  ",1
"I'm sorry, I can't make lunch on Tuesday. Can we reschedule for Wednesday? I know a great restaurant I can book that is not very busy.  ",1
"Mark an area of about 8 meters by 3 meters. This is the bowling alley. Use ten plastic bottles as bowling pins. Fill the bottles   with a little water to make them heavier. Line up the bottles in rows of 4, then 3, then 2, then 1, like a regular ten pin bowling alley.     Give each player a Frisbee. Each player takes two shots on each turn. Give players ten turns each. Players score one point for each pin that is knocked down. If someone hits a strike, then the player gets two more shots. Add up all the points at the end. The winner is the player with the most points. This game should not played when it's windy.      ",1
"First, I may take a gap year and travel to Mongolia and stay in a traditional yurt. I’d enjoy learning about the natural environment and take some time to learn about Mongolian culture. I‘d love to learn to ride a horse and hopefully to speak a little of the Mongolian language…  ",1
"Open position for Regional Marketing Manager: John Tiles Ltd.      We need a dynamic, organized manager with at least 3 years experience in marketing manufactured products. Experience in the tile manufacturing industry is a definite plus.   You must be able to work under pressure and meet deadlines. Location: Based in Manchester   Salary: $30,000 - $40,000   Hours: 9-5pm Monday to Friday  ",1
"I’m a very social person, so I meet people in a lot of different places.  To be honest, though, I’ve never met anyone in an online chat room and become friends with them in person.  I prefer to meet friends when I’m doing sports or volunteering, but I know a lot of people who have met some great friends online.  Maybe I’ll try it myself someday.        ",1
"How are you? I haven't heard from you for a long time. What have you been up to? Have you been busy? Well, James and I just got back from Okinawa in Japan. It was an amazing place and we had a really exciting time. We also had a kind of scary experience too!     We took the ferry to one of the small islands; while we were on the way, we got talking to a friendly man called Hiro. He told us that he was a scuba diver and that the island we were going to was a famous diving spot. It was a beautiful place; there was only one small town and the then just blue sea and white sand - perfect!

We found a campsite right next to the beach and decided to stay there as the weather was so nice. We hired a tent, set it up, and then went straight to the beach for a swim. We had a great time on the beach but when we walked back to the campsite, we noticed that the weather had changed and there was a strong wind. By the time we got to the campsite, it was getting a bit scary and then we saw a police car parked near our tent. The police said that a huge typhoon was coming soon and that we could not stay in the tent because it was too dangerous! We didn't know what to do, so we walked back into town feeling worried. When we got to the town, everyone was preparing for the typhoon and we saw Hiro running across the street. When we told him that we had nowhere to stay, he told us to come with him. He took us to the small scuba diving shop in town and introduced us to his friends there. They were very kind and said that we could sleep in the shop if we wanted to.      That night everyone stayed together in the shop. We were so lucky that Hiro was there to help - Hiro was our hero!      In hindsight, camping was a bad idea; we should have checked the weather forecast first. We have learned that planning properly is important but also that people around the world are kind and will help each other. Overall, a good life experience that we will remember for years!      Write soon.
See you,  ",1
"Hi, 
How are you?
In my age group, the most popular TV programs are news and movies. I never watch the news on TV, but I do like movies.
The least popular programs for my age group are reality TV and game shows, but I don’t agree. I think some of the reality TV shows are pretty interesting. I watch them a lot. 
Take care,         ",1
"Dear James,

Some serious problems have been brought to my attention relating to your working style and habits. This is a formal letter of warning to ask you to improve your work. Let me outline the areas in which you need to improve.

First, you have to communicate with your colleagues more and work with them more as a team.

You must be more careful with your time management. You mustn't be late for client meetings. You must be tidy and professional at all times. 

Yours sincerely,
Boss  ",1
"Hi James,
I've decided which holiday I'd like to take.
The safari sounds the most interesting to me, after talking to Tony.  It seems like it's very exciting without being too hard on the body.  If we go kloofing, we'll have to jump off cliffs, and I'm not sure that's how I want to spend my holiday. While Tony was on his holiday, he was able to see lions, elephants, and even a cheetah!  You know I love nature documentaries, so I think this will be pretty much the same, just in real life!  I hope that sounds good to you.
Cheers!'  ",1
"Dear Blue Cruise Alaska,

I have just returned from an awful trip with your company. The holiday did not deliver on any of it's promises. The whole experience was completely different from what was promised in your holiday brochure.
The service was dreadful. The captain wasn't friendly and he was always late to leave every morning. The ship was old and disgusting. It was not a cruise ship, it was more like a fishing boat. It was definitely not comfortable and cozy. And it broke down often. The engine broke and wasted a lot of our time.

There were almost no animals to see. We only saw eagles. Where were the polar bears?      And also, there was the problem of the extra expenses. We were told that the holiday was all inclusive but then at the end of the trip we were asked to pay extra fees for insurance.

I am very disappointed with your company and I will never travel with them again.
Yours sincerely,
",1
John54:   Gavin and Bruce are amazing directors. I don't believe any of this rubbish in the news these days. They aren't jealous of anyone. I think the papers just dislike their success.      ,1
"Classic Home Remedies

Are traditional forms of medicine not working for you? Do you want to try something new? Try these!

Garlic and Echinacea tea. Drink this if you've been feeling sick and think you have an infection. It really works! Ginger and raspberry leaf, chewed or in a tea, This will help with any kind of nausea, like travel sickness or morning sickness. A spoonful of honey and ginger.  For a sore throat, try this. It'll also help you with your cold.       ",1
"Introduction: The debate was about how smaller grocery stores are closing down because larger multinational supermarket are taking their customers.

The debate: Both opponents were very passionate about their beliefs. The spokesperson for small stores was very emotional. He had lost his family business to one of the larger chains and pointed out that small stores couldn’t compete with the low costs of the chains. The spokesperson for the larger chains explained that in the dynamic environment we live in today, people are simply too busy to go to 5 or 6 different places to do their grocery shopping. Larger supermarkets are simply more convenient for the shoppers of this day and age.

Impression:   I enjoyed the debate. Each person gave a very good argument about their beliefs. I would rather that they set aside some time for listeners to call in and give their opinions or ask questions. The presenter was also a little one sided, defending the smaller stores whenever he had the opportunity. Although I think it’s good for the presenter to have an opinion I would prefer it if he remained neutral.

Conclusion: Overall, I felt the debate was very touching. My own view is that it is more convenient to shop at larger stores. However, as small store keepers pointed out, the quality of products such as meats were better in their stores. I’m undecided about which side I’m on but the debate itself was well worth listening to. I’d give it 8 out of 10.  ",1
"Here is my list of things I want to do before I die:
Go to the moon.
Travel around the world.
Swim with dolphins.
See the Taj Mahal at all times of the day and watch it change color.
Learn Arabic really well.
Climb a mountain like Mount Everest.
Learn to sail all by myself.
Go to New York and live in a skyscraper in Manhattan.
Ride in a hot air balloon.
  ",1
"Hi,
I'm doing fine. Hope things are all going well back in New York. 

All the flights have been smooth so far. I experienced delays for an hour when flying from Dusseldorf to Madrid. We all had to stay in the departure lounge for an extra hour. We arrived an hour after the original arrival time and we were late for the meeting.

The next meeting is in Paris. I've never been there before so I'm looking forward to it. I haven't seen any interesting presents yet, but I'm still looking.  ",1
"Dear potential buyer,

Re: house cleaning robot

Thanks for your interest in the robot. He's (he's called Robo) 1.5m in height and 0.5m wide. He's made of metal with a wooden finish. He looks friendly. He's very stylish, state-of-the-art and also very functional. He can clean all day, fetch items from other rooms, switch on lights and other appliances as well as play music and dance.

Every home needs one of these and we will miss him.
He's all yours for $300! What a bargain!

Regards,
Student  ",1
"To my precious family,

Thanks for the invitation to dinner. That steak and salad bar sounds really good. I hope you won’t be too upset but I won’t be able to make it next weekend. I have already agreed to meet with my tutor that evening.

We arranged this appointment a few weeks ago and it’s really important as he’s not available very often. He's being really supportive about my work and wants to discuss my thesis over dinner.

I was wondering if it would be ok if I came over next weekend. We could try out this new restaurant and then I could tell you all about my thesis and why I had to see my tutor. What do you think?

I’m really sorry I can’t make it this weekend and I hope you and the rest of the family won’t be too upset.

Let me know if this is ok with you.
Say hi to everyone.

Your loving child… 
 ",1
"I am writing to express my sincere condolences to the family of Marshall Kent, after hearing the sad news of his death. It was not only his writing I liked, but his charity work, especially his work with terminally ill children. He will be sadly missed. Rest in Peace, Marshall.      Your Number One fan,      ",1
"Hey,

Wow, congratulations on graduating at the top of your class. That's such a great achievement. I'm so proud of you and your success. You must be so excited about your future career. I hope everything goes well for you.

The award that you won is fantastic. That should be a great help to your finances. Do you think you will continue to study? I remember visiting your university, which has a beautiful campus, last year. I know you like it there although it would be great to see you again here.

Hope to see you soon,

Friend  
",1
"Dear Sir,

I am writing to ask your advice about a problem I have with my landlord and the real estate agents.

My landlord is refusing to pay back my deposit on my house. He accuses me of damaging the apartment. However, the drains were clogged and the lights weren't working when I arrived in the apartment last year. According to the contract he should pay back the money. I told the landlord that I was entitled to the deposit. I've been a customer of the estate agent for 4 years but they have offered no help. It really isn't good enough.

Please advise me what to do. 
Thanks very much.
Student  ",1
"We also make meatballs in my country, but we often eat them with bread, like a sandwich.  We use ground lamb, onion, garlic, cumin, and ground coriander. We chop the onion and garlic very small, mix it in with the spices, lamb, and some salt, and then make small balls.  We can cook it in a pan like she does, or over fire, on long sticks, called skewers.  ",1
"I'm not happy with the quality of the food at this restaurant. The steak was burned. It looked like a stone and tasted like leather. It was awful. I asked for lots of French fries but I received only a few. They weren't even cooked! They tasted raw. However, when I told the waiter, he was helpful and I got another meal. This time, the fried fish. This tasted delicious. Overall, some of the food was terrible but the service was excellent.  ",1
"Reasons for studying online

I want to study History of Computing online for two reasons. Firstly, I'm very interested in the History of Computing. I am frustrated with my current low level of knowledge. I particularly find the development of different computer programs very interesting. 

I also want to study to advance my career. I hope this course will help me get a promotion in the future.  ",1
"Proposal for ABC Ltd

• Pens with company's logo, list price 49 cents per pen, special offer for orders of 1000 or more items: 39 cents per unit. 
• Notebooks with company's logo, list price 99 cents per notebook , special offer for orders of 1000 or more items: 89 cents. 
• Special promotion this month: 10% off all orders if we receive your order before the 31st of this month.
• Free delivery  for orders over $1000
• Our delivery time is currently 14 days
• Payment is due 2 weeks after delivery.

We are looking forward to doing business with you. 
",1
